,Year,Species,Number
0,1985.0,Fin,0.0
1,1986.0,Fin,85.0
2,1987.0,Fin,89.0
3,1988.0,Fin,77.0
4,1989.0,Fin,82.0
5,1990.0,Fin,19.0
6,1991.0,Fin,18.0
7,1992.0,Fin,22.0
8,1993.0,Fin,14.0
9,1994.0,Fin,22.0
10,1995.0,Fin,12.0
11,1996.0,Fin,19.0
12,1997.0,Fin,13.0
13,1998.0,Fin,11.0
14,1999.0,Fin,9.0
15,2000.0,Fin,7.0
16,2001.0,Fin,8.0
17,2002.0,Fin,13.0
18,2003.0,Fin,9.0
19,2004.0,Fin,13.0
20,2005.0,Fin,23.0
21,2006.0,Fin,21.0
22,2007.0,Fin,12.0
23,2008.0,Fin,15.0
24,2009.0,Fin,136.0
25,2010.0,Fin,156.0
26,2011.0,Fin,6.0
27,2012.0,Fin,5.0
28,2013.0,Fin,143.0
29,2014.0,Fin,149.0
30,2015.0,Fin,168.0
31,2016.0,Fin,9.0
32,2017.0,Fin,8.0
33,2018.0,Fin,153.0
34,1985.0,Sperm,0.0
35,1986.0,Sperm,209.0
36,1987.0,Sperm,198.0
37,1988.0,Sperm,7.0
38,1989.0,Sperm,4.0
39,1990.0,Sperm,12.0
40,1991.0,Sperm,14.0
41,1992.0,Sperm,7.0
42,1993.0,Sperm,10.0
43,1994.0,Sperm,27.0
44,1995.0,Sperm,38.0
45,1996.0,Sperm,18.0
46,1997.0,Sperm,22.0
47,1998.0,Sperm,31.0
48,1999.0,Sperm,6.0
49,2000.0,Sperm,15.0
50,2001.0,Sperm,43.0
51,2002.0,Sperm,33.0
52,2003.0,Sperm,28.0
53,2004.0,Sperm,17.0
54,2005.0,Sperm,10.0
55,2006.0,Sperm,10.0
56,2007.0,Sperm,46.0
57,2008.0,Sperm,36.0
58,2009.0,Sperm,6.0
59,2010.0,Sperm,25.0
60,2011.0,Sperm,15.0
61,2012.0,Sperm,6.0
62,2013.0,Sperm,19.0
63,2014.0,Sperm,31.0
64,2015.0,Sperm,7.0
65,2016.0,Sperm,12.0
66,2017.0,Sperm,27.0
67,2018.0,Sperm,0.0
68,1985.0,Humpback,0.0
69,1986.0,Humpback,2.0
70,1987.0,Humpback,2.0
71,1988.0,Humpback,2.0
72,1989.0,Humpback,2.0
73,1990.0,Humpback,1.0
74,1991.0,Humpback,1.0
75,1992.0,Humpback,3.0
76,1993.0,Humpback,2.0
77,1994.0,Humpback,0.0
78,1995.0,Humpback,0.0
79,1996.0,Humpback,2.0
