Year ,Season, Type,Area,Nation,Fin,Sperm,Humpback,Sei,Bryde's ,Minke,Gray,Bowhead,Total,Notes 
1985,1985/86,WO: pelagic,Antarctic,Japan,0,0,0,0,0,1941,0,0,1941, 
1985,1985/86,WO: pelagic,Antarctic,USSR,0,0,0,0,0,3028,0,0,3028, 
1986,1986,AS,W. Greenland,Denmark,9,0,0,0,0,145,0,0,154, ID of 1 fin is uncertain: may be a sei whale
1986,1986,AS,E. Greenland,Denmark,0,0,0,0,0,2,0,0,2, 
1986,1986,SP: coastal,W. Iceland,Iceland,76,0,0,40,0,0,0,0,116, 
1986,1986,WO: small type,NE Atlantic,Norway,0,0,0,0,0,379,0,0,379, 
1986,1986,AS,W.Indies,St.Vincent & Grenadines,0,0,2,0,0,0,0,0,2, 
1986,1986,WO: coastal,Japan,Japan,0,200,0,0,317,311,0,0,828, 
1986,1986,SP: coastal,Korea,Korea,0,0,0,0,0,69,0,0,69, 
1986,1986,AS,Alaska,USA,0,0,0,0,0,0,2,28,30, 
1986,1986,AS,Chukotka,USSR,0,0,0,0,0,0,169,0,169, 
1986,1986,U,Indonesia,Indonesia,0,9,0,0,0,0,0,0,9,Unofficial information
1986,1986/87,WO: pelagic,Antarctic,Japan,0,0,0,0,0,1941,0,0,1941, 
1986,1986/87,WO: pelagic,Antarctic,USSR,0,0,0,0,0,3028,0,0,3028, 
1987,1987,AS,W. Greenland,Denmark,9,0,0,0,0,86,0,0,95, 
1987,1987,AS,E. Greenland,Denmark,0,0,0,0,0,4,0,0,4, 
1987,1987,SP: coastal,W. Iceland,Iceland,80,0,0,20,0,0,0,0,100, 
1987,1987,WO: small type,NE Atlantic,Norway,0,0,0,0,0,373,0,0,373, 
1987,1987,U,Azores,Portugal,0,3,0,0,0,0,0,0,3, 
1987,1987,AS,W.Indies,St.Vincent & Grenadines,0,0,2,0,0,0,0,0,2, 
1987,1987,WO: coastal,Japan,Japan,0,188,0,0,317,304,0,0,809, 
1987,1987,AS,Alaska,USA,0,0,0,0,0,0,1,31,32, Report of gray whale is unconfirmed.
1987,1987,AS,Chukotka,USSR,0,0,0,0,0,0,158,0,158, 
1987,1987,U,Indonesia,Indonesia,0,7,0,0,0,0,0,0,7,Unofficial information
1987,1987/88,SP: pelagic,Antarctic,Japan,0,0,0,0,0,273,0,0,273, Sp.Permit feasibility study
1988,1988,AS,W. Greenland,Denmark,9,0,1,4,0,109,0,0,123, Humpback taken as disabled.
1988,1988,AS,E. Greenland,Denmark,0,0,0,0,0,10,0,0,10, 
1988,1988,SP: coastal,W. Iceland,Iceland,68,0,0,10,0,0,0,0,78, 
1988,1988,SP: small type,NE Atlantic,Norway,0,0,0,0,0,29,0,0,29, 
1988,1988,AS,W.Indies,St.Vincent & Grenadines,0,0,1,0,0,0,0,0,1, 
1988,1988,AS,Alaska,USA,0,0,0,0,0,0,1,29,30, 
1988,1988,AS,Chukotka,USSR,0,0,0,0,0,0,150,0,150, 
1988,1988,U,Indonesia,Indonesia,0,7,0,0,0,0,0,0,7,Unofficial information
1988,1988/89,SP: pelagic,Antarctic,Japan,0,0,0,0,0,241,0,0,241,Sp.Permit feasibility study
1989,1989,AS,W. Greenland,Denmark,14,0,2,2,0,63,0,0,81, 
1989,1989,AS,E. Greenland,Denmark,0,0,0,0,0,10,0,0,10, 
1989,1989,SP: coastal,W. Iceland,Iceland,68,0,0,0,0,0,0,0,68, 
1989,1989,SP: small type,NE Atlantic,Norway,0,0,0,0,0,17,0,0,17, 
1989,1989,AS,Alaska,USA,0,0,0,0,0,2,1,26,29, 
1989,1989,AS,Chukotka,USSR,0,0,0,0,0,0,179,0,179, 
1989,1989,U,Indonesia,Indonesia,0,4,0,0,0,0,0,0,4,Unofficial information
1989,1989/90,SP: pelagic,Antarctic,Japan,0,0,0,0,0,330,0,0,330, 
1990,1990,AS,W. Greenland,Denmark,19,0,1,0,0,89,0,0,109, 
1990,1990,AS,E. Greenland,Denmark,0,0,0,0,0,6,0,0,6, 
1990,1990,SP: small type,NE Atlantic,Norway,0,0,0,0,0,5,0,0,5, 
1990,1990,AS,Alaska,USA,0,0,0,0,0,0,0,44,44, 
1990,1990,AS,Chukotka,USSR,0,0,0,0,0,0,162,0,162, 
