Area,Latitude,Longitude
Antarctic,-62.9569253,-60.6328425
Alaska,58.1769992,-167.136665
Chukotka,69.4467673,-171.3853847
E. Greenland,68.4275896,-32.55215
Indonesia,-9.6004834,121.7535375
Japan,28.056319,149.4087118
NE Atlantic,56.5499995,-24
Korea,34.253807,150.2362315
W. Iceland,64.9098481,-21.9188185
W.Indies,13.6571919,-60.8986297
NW Canada,52.2595533,-129.7790971
NE Canada,53.8878796,-53.5909151
Azores,35.5721322,-25.3726121
NW Pacific,31.3900266,-156.550517
Iceland,65.6750207,-9.0916241
USA W coast,29.1130403,-128.4039841
W. Greenland,75.3906409,-66.8595852
