Country,Whale,value,log_scale,RedList
Japan,Fin,0.0,0.0,VU
USSR,Fin,0.0,0.0,VU
Denmark,Fin,41.0,1.6127838567197355,VU
Iceland,Fin,292.0,2.4653828514484184,VU
Norway,Fin,0.0,0.0,VU
St.Vincent & Grenadines,Fin,0.0,0.0,VU
Korea,Fin,0.0,0.0,VU
USA,Fin,0.0,0.0,VU
Indonesia,Fin,0.0,0.0,VU
Portugal,Fin,0.0,0.0,VU
Japan,Sperm,388.0,2.5888317255942073,NE
USSR,Sperm,0.0,0.0,NE
Denmark,Sperm,0.0,0.0,NE
Iceland,Sperm,0.0,0.0,NE
Norway,Sperm,0.0,0.0,NE
St.Vincent & Grenadines,Sperm,0.0,0.0,NE
Korea,Sperm,0.0,0.0,NE
USA,Sperm,0.0,0.0,NE
Indonesia,Sperm,27.0,1.4313637641589874,NE
Portugal,Sperm,3.0,0.47712125471966244,NE
Japan,Humpback,0.0,0.0,EN
USSR,Humpback,0.0,0.0,EN
Denmark,Humpback,3.0,0.47712125471966244,EN
Iceland,Humpback,0.0,0.0,EN
Norway,Humpback,0.0,0.0,EN
St.Vincent & Grenadines,Humpback,5.0,0.6989700043360189,EN
Korea,Humpback,0.0,0.0,EN
USA,Humpback,0.0,0.0,EN
Indonesia,Humpback,0.0,0.0,EN
Portugal,Humpback,0.0,0.0,EN
Japan,Sei,0.0,0.0,NE
USSR,Sei,0.0,0.0,NE
Denmark,Sei,6.0,0.7781512503836436,NE
Iceland,Sei,70.0,1.845098040014257,NE
Norway,Sei,0.0,0.0,NE
St.Vincent & Grenadines,Sei,0.0,0.0,NE
Korea,Sei,0.0,0.0,NE
USA,Sei,0.0,0.0,NE
Indonesia,Sei,0.0,0.0,NE
Portugal,Sei,0.0,0.0,NE
Japan,Bryde's,634.0,2.802089257881733,
USSR,Bryde's,0.0,0.0,
Denmark,Bryde's,0.0,0.0,
Iceland,Bryde's,0.0,0.0,
Norway,Bryde's,0.0,0.0,
St.Vincent & Grenadines,Bryde's,0.0,0.0,
Korea,Bryde's,0.0,0.0,
USA,Bryde's,0.0,0.0,
Indonesia,Bryde's,0.0,0.0,
Portugal,Bryde's,0.0,0.0,
Japan,Minke,5341.0,3.727622577969137, UN
USSR,Minke,6056.0,3.7821858664920165, UN
Denmark,Minke,429.0,2.6324572921847245, UN
Iceland,Minke,0.0,0.0, UN
Norway,Minke,798.0,2.9020028913507296, UN
St.Vincent & Grenadines,Minke,0.0,0.0, UN
Korea,Minke,69.0,1.8388490907372552, UN
USA,Minke,2.0,0.3010299956639812, UN
Indonesia,Minke,0.0,0.0, UN
Portugal,Minke,0.0,0.0, UN
Japan,Gray,0.0,0.0,NE
USSR,Gray,656.0,2.8169038393756605,NE
Denmark,Gray,0.0,0.0,NE
Iceland,Gray,0.0,0.0,NE
Norway,Gray,0.0,0.0,NE
St.Vincent & Grenadines,Gray,0.0,0.0,NE
Korea,Gray,0.0,0.0,NE
USA,Gray,5.0,0.6989700043360189,NE
Indonesia,Gray,0.0,0.0,NE
Portugal,Gray,0.0,0.0,NE
Japan,Bowhead,0.0,0.0,EN
USSR,Bowhead,0.0,0.0,EN
Denmark,Bowhead,0.0,0.0,EN
Iceland,Bowhead,0.0,0.0,EN
Norway,Bowhead,0.0,0.0,EN
St.Vincent & Grenadines,Bowhead,0.0,0.0,EN
Korea,Bowhead,0.0,0.0,EN
USA,Bowhead,114.0,2.0569048513364727,EN
Indonesia,Bowhead,0.0,0.0,EN
Portugal,Bowhead,0.0,0.0,EN
