Year,Nation,Fin,Sperm,Humpback,Sei,Bryde's,Minke,Gray,Bowhead,Total,CODE
1985.0,Japan,0.0,0.0,0.0,0.0,0.0,1941.0,0.0,0.0,1941.0,JPN
1985.0,USSR,0.0,0.0,0.0,0.0,0.0,3028.0,0.0,0.0,3028.0,RUS
1986.0,Denmark,9.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,156.0,DNK
1986.0,Iceland,76.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,116.0,ISL
1986.0,Indonesia,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,IDN
1986.0,Japan,0.0,200.0,0.0,0.0,317.0,2252.0,0.0,0.0,2769.0,JPN
1986.0,Korea,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,69.0,KOR
1986.0,Norway,0.0,0.0,0.0,0.0,0.0,379.0,0.0,0.0,379.0,NOR
1986.0,St.Vincent & Grenadines,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,VCT
1986.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,30.0,USA
1986.0,USSR,0.0,0.0,0.0,0.0,0.0,3028.0,169.0,0.0,3197.0,RUS
1987.0,Denmark,9.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,99.0,DNK
1987.0,Iceland,80.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,100.0,ISL
1987.0,Indonesia,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,IDN
1987.0,Japan,0.0,188.0,0.0,0.0,317.0,577.0,0.0,0.0,1082.0,JPN
1987.0,Norway,0.0,0.0,0.0,0.0,0.0,373.0,0.0,0.0,373.0,NOR
1987.0,Portugal,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,PRT
1987.0,St.Vincent & Grenadines,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,VCT
1987.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,32.0,USA
1987.0,USSR,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,158.0,RUS
1988.0,Denmark,9.0,0.0,1.0,4.0,0.0,119.0,0.0,0.0,133.0,DNK
1988.0,Iceland,68.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,78.0,ISL
1988.0,Indonesia,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,IDN
1988.0,Japan,0.0,0.0,0.0,0.0,0.0,241.0,0.0,0.0,241.0,JPN
1988.0,Norway,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,29.0,NOR
1988.0,St.Vincent & Grenadines,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,VCT
1988.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,30.0,USA
1988.0,USSR,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,RUS
1989.0,Denmark,14.0,0.0,2.0,2.0,0.0,73.0,0.0,0.0,91.0,DNK
1989.0,Iceland,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,ISL
1989.0,Indonesia,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,IDN
1989.0,Japan,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,330.0,JPN
1989.0,Norway,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0,NOR
1989.0,USA,0.0,0.0,0.0,0.0,0.0,2.0,1.0,26.0,29.0,USA
1989.0,USSR,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,179.0,RUS
1990.0,Denmark,19.0,0.0,1.0,0.0,0.0,95.0,0.0,0.0,115.0,DNK
1990.0,Indonesia,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,IDN
1990.0,Japan,0.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,327.0,JPN
1990.0,Norway,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,NOR
1990.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,USA
1990.0,USSR,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,162.0,RUS
1991.0,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CAN
1991.0,Denmark,18.0,0.0,1.0,0.0,0.0,106.0,0.0,0.0,125.0,DNK
1991.0,Indonesia,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,IDN
1991.0,Japan,0.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,288.0,JPN
1991.0,Norway,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,NOR
1991.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,USA
1991.0,USSR,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,169.0,RUS
1992.0,Denmark,22.0,0.0,1.0,0.0,0.0,114.0,0.0,0.0,137.0,DNK
1992.0,Indonesia,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,IDN
1992.0,Japan,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,330.0,JPN
1992.0,Norway,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,95.0,NOR
1992.0,St.Vincent & Grenadines,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,VCT
1992.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,USA
1993.0,Denmark,14.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,130.0,DNK
1993.0,Indonesia,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,IDN
1993.0,Japan,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,330.0,JPN
1993.0,Norway,0.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,226.0,NOR
1993.0,St.Vincent & Grenadines,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,VCT
1993.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,USA
1994.0,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CAN
1994.0,Denmark,22.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,131.0,DNK
1994.0,Indonesia,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,IDN
1994.0,Japan,0.0,0.0,0.0,0.0,0.0,351.0,0.0,0.0,351.0,JPN
1994.0,Norway,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,280.0,NOR
1994.0,Russia,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,44.0,RUS
1994.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,USA
1995.0,Denmark,12.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,174.0,DNK
1995.0,Indonesia,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,IDN
1995.0,Japan,0.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,540.0,JPN
1995.0,Norway,0.0,0.0,0.0,0.0,0.0,218.0,0.0,0.0,218.0,NOR
1995.0,Russia,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,90.0,RUS
1995.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,57.0,59.0,USA
1996.0,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,CAN
1996.0,Denmark,19.0,0.0,1.0,0.0,0.0,176.0,0.0,0.0,196.0,DNK
1996.0,Indonesia,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,IDN
1996.0,Japan,0.0,0.0,0.0,0.0,0.0,517.0,0.0,0.0,517.0,JPN
1996.0,Norway,0.0,0.0,0.0,0.0,0.0,388.0,0.0,0.0,388.0,NOR
1996.0,Russia,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,43.0,RUS
1996.0,St.Vincent & Grenadines,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,VCT
1996.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,USA
1997.0,Denmark,13.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,175.0,DNK
1997.0,Indonesia,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,IDN
1997.0,Japan,0.0,0.0,0.0,0.0,0.0,538.0,0.0,0.0,538.0,JPN
1997.0,Norway,0.0,0.0,0.0,0.0,0.0,503.0,0.0,0.0,503.0,NOR
1997.0,Russia,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,79.0,RUS
1997.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,USA
1998.0,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CAN
1998.0,Denmark,11.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,187.0,DNK
1998.0,Indonesia,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,IDN
1998.0,Japan,0.0,0.0,0.0,0.0,1.0,489.0,0.0,0.0,490.0,JPN
1998.0,Norway,0.0,0.0,0.0,0.0,0.0,625.0,0.0,0.0,625.0,NOR
1998.0,Russia,0.0,0.0,0.0,0.0,0.0,0.0,125.0,1.0,126.0,RUS
1998.0,St.Vincent & Grenadines,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,VCT
1998.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,USA
1999.0,Denmark,9.0,0.0,2.0,0.0,0.0,185.0,0.0,0.0,196.0,DNK
1999.0,Indonesia,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,IDN
1999.0,Japan,0.0,0.0,0.0,0.0,0.0,539.0,0.0,0.0,539.0,JPN
1999.0,Norway,0.0,0.0,0.0,0.0,0.0,591.0,0.0,0.0,591.0,NOR
1999.0,Russia,0.0,0.0,0.0,0.0,0.0,0.0,123.0,1.0,124.0,RUS
1999.0,St.Vincent & Grenadines,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,VCT
1999.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,48.0,USA
2000.0,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CAN
2000.0,Denmark,7.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,162.0,DNK
2000.0,Indonesia,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,IDN
2000.0,Japan,0.0,5.0,0.0,0.0,43.0,484.0,0.0,0.0,532.0,JPN
2000.0,Korea,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,KOR
2000.0,Norway,0.0,0.0,0.0,0.0,0.0,487.0,0.0,0.0,487.0,NOR
2000.0,Russia,0.0,0.0,0.0,0.0,0.0,0.0,115.0,1.0,116.0,RUS
2000.0,St.Vincent & Grenadines,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,VCT
2000.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,USA
2001.0,Denmark,8.0,0.0,2.0,0.0,0.0,156.0,0.0,0.0,166.0,DNK
2001.0,Indonesia,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IDN
2001.0,Japan,0.0,8.0,0.0,1.0,50.0,552.0,0.0,0.0,611.0,JPN
2001.0,Korea,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,KOR
2001.0,Norway,0.0,0.0,0.0,0.0,0.0,552.0,0.0,0.0,552.0,NOR
2001.0,Russia,0.0,0.0,0.0,0.0,0.0,0.0,112.0,1.0,113.0,RUS
2001.0,St.Vincent & Grenadines,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,VCT
2001.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,USA
2002.0,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CAN
2002.0,Denmark,13.0,0.0,2.0,0.0,0.0,149.0,0.0,0.0,164.0,DNK
