Year,Area,Fin,Sperm,Humpback,Sei,Bryde's,Minke,Gray,Bowhead,Total,CODE,latitudes,longitudes,size
1985.0,Antarctic,0.0,0.0,0.0,0.0,0.0,4969.0,0.0,0.0,4969.0,None,-62.9569253,-60.6328425,2.0
1986.0,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,30.0,None,58.1769992,-167.136665,2.0
1986.0,Antarctic,0.0,0.0,0.0,0.0,0.0,4969.0,0.0,0.0,4969.0,None,-62.9569253,-60.6328425,2.0
1986.0,Chukotka,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,169.0,None,69.4467673,-171.3853847,2.0
1986.0,E. Greenland,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,None,68.4275896,-32.55215,2.0
1986.0,Indonesia,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,IDN,-9.6004834,121.7535375,2.0
1986.0,Japan,0.0,200.0,0.0,0.0,317.0,311.0,0.0,0.0,828.0,JPN,28.056319,149.4087118,2.0
1986.0,Korea,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,69.0,KOR,37.253807,131.2362315,2.0
1986.0,NE Atlantic,0.0,0.0,0.0,0.0,0.0,379.0,0.0,0.0,379.0,None,56.5499995,-24.0,2.0
1986.0,W. Greenland,9.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,154.0,None,75.3906409,-66.8595852,2.0
1986.0,W. Iceland,76.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,116.0,None,64.9098481,-21.9188185,2.0
1986.0,W.Indies,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,None,13.6571919,-60.8986297,2.0
1987.0,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,32.0,None,58.1769992,-167.136665,2.0
1987.0,Antarctic,0.0,0.0,0.0,0.0,0.0,273.0,0.0,0.0,273.0,None,-62.9569253,-60.6328425,2.0
1987.0,Azores,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,None,35.5721322,-25.3726121,2.0
1987.0,Chukotka,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,158.0,None,69.4467673,-171.3853847,2.0
1987.0,E. Greenland,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,None,68.4275896,-32.55215,2.0
1987.0,Indonesia,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,IDN,-9.6004834,121.7535375,2.0
1987.0,Japan,0.0,188.0,0.0,0.0,317.0,304.0,0.0,0.0,809.0,JPN,28.056319,149.4087118,2.0
1987.0,NE Atlantic,0.0,0.0,0.0,0.0,0.0,373.0,0.0,0.0,373.0,None,56.5499995,-24.0,2.0
1987.0,W. Greenland,9.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,95.0,None,75.3906409,-66.8595852,2.0
1987.0,W. Iceland,80.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,100.0,None,64.9098481,-21.9188185,2.0
1987.0,W.Indies,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,None,13.6571919,-60.8986297,2.0
1988.0,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,30.0,None,58.1769992,-167.136665,2.0
1988.0,Antarctic,0.0,0.0,0.0,0.0,0.0,241.0,0.0,0.0,241.0,None,-62.9569253,-60.6328425,2.0
1988.0,Chukotka,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,None,69.4467673,-171.3853847,2.0
1988.0,E. Greenland,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,None,68.4275896,-32.55215,2.0
